district_code,province_vi,province_en,district_equiv_vi,district_vi,district_en,total,total_male,total_female,total_urban,total_urban_male,total_urban_female,total_rural,total_rural_male,total_rural_female
883,An Giang,An Giang,Thành phố,Long Xuyên,Long Xuyen,272365,133320,139045,239588,117027,122561,32777,16293,16484
884,An Giang,An Giang,Thành phố,Châu Đốc,Chau Doc,101765,49564,52201,90495,43877,46618,11270,5687,5583
886,An Giang,An Giang,Huyện,An Phú,An Phu,148615,74001,74614,19263,9612,9651,129352,64389,64963
887,An Giang,An Giang,Thị xã,Tân Châu,Tan Chau,141211,69176,72035,54214,26389,27825,86997,42787,44210
888,An Giang,An Giang,Huyện,Phú Tân,Phu Tan,188951,94069,94882,33741,16491,17250,155210,77578,77632
889,An Giang,An Giang,Huyện,Châu Phú,Chau Phu,206676,102793,103883,16958,8269,8689,189718,94524,95194
890,An Giang,An Giang,Huyện,Tịnh Biên,Tinh Bien,108562,53560,55002,32301,15833,16468,76261,37727,38534
891,An Giang,An Giang,Huyện,Tri Tôn,Tri Ton,117431,58589,58842,27485,13473,14012,89946,45116,44830
892,An Giang,An Giang,Huyện,Châu Thành,Chau Thanh,151368,76309,75059,22998,11475,11523,128370,64834,63536
893,An Giang,An Giang,Huyện,Chợ Mới,Cho Moi,307981,153741,154240,24858,12139,12719,283123,141602,141521
894,An Giang,An Giang,Huyện,Thoại Sơn,Thoai Son,163427,82448,80979,40969,20295,20674,122458,62153,60305
747,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thành phố,Vũng Tàu,Vung Tau,357124,177224,179900,341552,169130,172422,15572,8094,7478
748,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thành phố,Bà Rịa,Ba Ria,108701,53479,55222,72111,35191,36920,36590,18288,18302
750,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Châu Đức,Chau Duc,143859,72210,71649,16472,8282,8190,127387,63928,63459
751,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Xuyên Mộc,Xuyen Moc,140723,71022,69701,16315,8171,8144,124408,62851,61557
752,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Long Điền,Long Dien,135763,67897,67866,59210,29355,29855,76553,38542,38011
753,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Đất Đỏ,Dat Do,73530,36825,36705,42641,21159,21482,30889,15666,15223
754,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thị xã,Phú Mỹ,Phu My,179786,92993,86793,122349,63371,58978,57437,29622,27815
755,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Côn Đảo,Con Dao,8827,4578,4249,0,0,0,8827,4578,4249
213,Bắc Giang,Bac Giang,Thành phố,Bắc Giang,Bac Giang,174229,86019,88210,109367,53652,55715,64862,32367,32495
215,Bắc Giang,Bac Giang,Huyện,Yên Thế,Yen The,101135,50234,50901,7816,3757,4059,93319,46477,46842
216,Bắc Giang,Bac Giang,Huyện,Tân Yên,Tan Yen,177265,88309,88956,9141,4547,4594,168124,83762,84362
217,Bắc Giang,Bac Giang,Huyện,Lạng Giang,Lang Giang,216996,107989,109007,9746,4741,5005,207250,103248,104002
218,Bắc Giang,Bac Giang,Huyện,Lục Nam,Luc Nam,226194,115099,111095,12975,6567,6408,213219,108532,104687
219,Bắc Giang,Bac Giang,Huyện,Lục Ngạn,Luc Ngan,226540,117287,109253,8113,4001,4112,218427,113286,105141
220,Bắc Giang,Bac Giang,Huyện,Sơn Động,Son Dong,76106,39419,36687,9504,4847,4657,66602,34572,32030
221,Bắc Giang,Bac Giang,Huyện,Yên Dũng,Yen Dung,152125,75561,76564,14673,7188,7485,137452,68373,69079
222,Bắc Giang,Bac Giang,Huyện,Việt Yên,Viet Yen,205900,101599,104301,18357,9147,9210,187543,92452,95091
223,Bắc Giang,Bac Giang,Huyện,Hiệp Hòa,Hiep Hoa,247460,123636,123824,5931,2924,3007,241529,120712,120817
058,Bắc Kạn,Bac Kan,Thành phố,Bắc Kạn,Bac Kan,45036,22406,22630,38510,19135,19375,6526,3271,3255
060,Bắc Kạn,Bac Kan,Huyện,Pắc Nặm,Pac Nam,33439,17009,16430,0,0,0,33439,17009,16430
061,Bắc Kạn,Bac Kan,Huyện,Ba Bể,Ba Be,48325,24774,23551,4499,2181,2318,43826,22593,21233
062,Bắc Kạn,Bac Kan,Huyện,Ngân Sơn,Ngan Son,29269,14946,14323,6459,3257,3202,22810,11689,11121
063,Bắc Kạn,Bac Kan,Huyện,Bạch Thông,Bach Thong,31061,15878,15183,1906,995,911,29155,14883,14272
064,Bắc Kạn,Bac Kan,Huyện,Chợ Đồn,Cho Don,49554,25441,24113,7180,3525,3655,42374,21916,20458
065,Bắc Kạn,Bac Kan,Huyện,Chợ Mới,Cho Moi,38958,19928,19030,2566,1295,1271,36392,18633,17759
066,Bắc Kạn,Bac Kan,Huyện,Na Rì,Na Ri,38263,19654,18609,4012,1912,2100,34251,17742,16509
954,Bạc Liêu,Bac Lieu,Thành phố,Bạc Liêu,Bac Lieu,156110,76837,79273,115508,56147,59361,40602,20690,19912
956,Bạc Liêu,Bac Lieu,Huyện,Hồng Dân,Hong Dan,111848,56519,55329,11394,5596,5798,100454,50923,49531
957,Bạc Liêu,Bac Lieu,Huyện,Phước Long,Phuoc Long,124268,62852,61416,21273,10693,10580,102995,52159,50836
958,Bạc Liêu,Bac Lieu,Huyện,Vĩnh Lợi,Vinh Loi,101025,50729,50296,14838,7363,7475,86187,43366,42821
959,Bạc Liêu,Bac Lieu,Thị xã,Giá Rai,Gia Rai,143613,71492,72121,52287,25723,26564,91326,45769,45557
960,Bạc Liêu,Bac Lieu,Huyện,Đông Hải,Dong Hai,152619,76574,76045,13957,7110,6847,138662,69464,69198
961,Bạc Liêu,Bac Lieu,Huyện,Hoà Bình,Hoa Binh,117753,58969,58784,22381,11072,11309,95372,47897,47475
256,Bắc Ninh,Bac Ninh,Thành phố,Bắc Ninh,Bac Ninh,247702,120780,126922,200285,98738,101547,47417,22042,25375
258,Bắc Ninh,Bac Ninh,Huyện,Yên Phong,Yen Phong,192674,90752,101922,18738,9488,9250,173936,81264,92672
259,Bắc Ninh,Bac Ninh,Huyện,Quế Võ,Que Vo,195666,95690,99976,9504,4790,4714,186162,90900,95262
260,Bắc Ninh,Bac Ninh,Huyện,Tiên Du,Tien Du,176460,89572,86888,13055,6628,6427,163405,82944,80461
261,Bắc Ninh,Bac Ninh,Thị xã,Từ Sơn,Tu Son,176410,90284,86126,101755,51823,49932,74655,38461,36194
262,Bắc Ninh,Bac Ninh,Huyện,Thuận Thành,Thuan Thanh,171942,85927,86015,14365,7180,7185,157577,78747,78830
263,Bắc Ninh,Bac Ninh,Huyện,Gia Bình,Gia Binh,103517,51278,52239,8203,4115,4088,95314,47163,48151
264,Bắc Ninh,Bac Ninh,Huyện,Lương Tài,Luong Tai,104469,51777,52692,10795,5399,5396,93674,46378,47296
829,Bến Tre,Ben Tre,Thành phố,Bến Tre,Ben Tre,124499,59333,65166,63373,29735,33638,61126,29598,31528
831,Bến Tre,Ben Tre,Huyện,Châu Thành,Chau Thanh,175893,85143,90750,4658,2246,2412,171235,82897,88338
832,Bến Tre,Ben Tre,Huyện,Chợ Lách,Cho Lach,111418,54602,56816,8277,3986,4291,103141,50616,52525
833,Bến Tre,Ben Tre,Huyện,Mỏ Cày Nam,Mo Cay Nam,143577,69431,74146,10661,5078,5583,132916,64353,68563
834,Bến Tre,Ben Tre,Huyện,Giồng Trôm,Giong Trom,169987,83582,86405,9611,4671,4940,160376,78911,81465
835,Bến Tre,Ben Tre,Huyện,Bình Đại,Binh Dai,137304,68208,69096,9915,4856,5059,127389,63352,64037
836,Bến Tre,Ben Tre,Huyện,Ba Tri,Ba Tri,184734,91742,92992,10235,4917,5318,174499,86825,87674
837,Bến Tre,Ben Tre,Huyện,Thạnh Phú,Thanh Phu,127841,63107,64734,9570,4613,4957,118271,58494,59777
838,Bến Tre,Ben Tre,Huyện,Mỏ Cày Bắc,Mo Cay Bac,113210,55344,57866,0,0,0,113210,55344,57866
540,Bình Định,Binh Dinh,Thành phố,Quy Nhơn,Quy Nhon,290053,141773,148280,263892,128430,135462,26161,13343,12818
542,Bình Định,Binh Dinh,Huyện,An Lão,An Lao,27837,13770,14067,4120,1964,2156,23717,11806,11911
543,Bình Định,Binh Dinh,Huyện,Hoài Nhơn,Hoai Nhon,207995,101992,106003,30605,14848,15757,177390,87144,90246
544,Bình Định,Binh Dinh,Huyện,Hoài Ân,Hoai An,85700,42488,43212,7755,3791,3964,77945,38697,39248
545,Bình Định,Binh Dinh,Huyện,Phú Mỹ,Phu My,161563,79288,82275,18020,8741,9279,143543,70547,72996
546,Bình Định,Binh Dinh,Huyện,Vĩnh Thạnh,Vinh Thanh,30587,15212,15375,6250,3098,3152,24337,12114,12223
547,Bình Định,Binh Dinh,Huyện,Tây Sơn,Tay Son,115968,56679,59289,19698,9480,10218,96270,47199,49071
548,Bình Định,Binh Dinh,Huyện,Phù Cát,Phu Cat,183440,90923,92517,11976,5776,6200,171464,85147,86317
549,Bình Định,Binh Dinh,Thị xã,An Nhơn,An Nhon,175709,86703,89006,78976,38815,40161,96733,47888,48845
550,Bình Định,Binh Dinh,Huyện,Tuy Phước,Tuy Phuoc,180191,89504,90687,26846,13242,13604,153345,76262,77083
551,Bình Định,Binh Dinh,Huyện,Vân Canh,Van Canh,27875,13755,14120,6741,3240,3501,21134,10515,10619
718,Bình Dương,Binh Duong,Thành phố,Thủ Dầu Một,Thu Dau Mot,321607,157082,164525,321607,157082,164525,0,0,0
719,Bình Dương,Binh Duong,Huyện,Bàu Bàng,Bau Bang,92679,47167,45512,29347,15414,13933,63332,31753,31579
720,Bình Dương,Binh Duong,Huyện,Dầu Tiếng,Dau Tieng,112472,55840,56632,19300,9574,9726,93172,46266,46906
721,Bình Dương,Binh Duong,Thị xã,Bến Cát,Ben Cat,302782,152408,150374,231852,116245,115607,70930,36163,34767
722,Bình Dương,Binh Duong,Huyện,Phú Giáo,Phu Giao,89741,45913,43828,14888,7346,7542,74853,38567,36286
723,Bình Dương,Binh Duong,Thị xã,Tân Uyên,Tan Uyen,370512,190472,180040,251694,129274,122420,118818,61198,57620
724,Bình Dương,Binh Duong,Thị xã,Dĩ An,Di An,474681,239218,235463,474681,239218,235463,0,0,0
725,Bình Dương,Binh Duong,Thị xã,Thuận An,Thuan An,596227,298529,297698,588616,294785,293831,7611,3744,3867
726,Bình Dương,Binh Duong,Huyện,Bắc Tân Uyên,Bac Tan Uyen,65860,33377,32483,6129,2995,3134,59731,30382,29349
688,Bình Phước,Binh Phuoc,Thị xã,Phước Long,Phuoc Long,53992,26948,27044,43601,21771,21830,10391,5177,5214
689,Bình Phước,Binh Phuoc,Thành phố,Đồng Xoài,Dong Xoai,108595,54110,54485,80741,40150,40591,27854,13960,13894
690,Bình Phước,Binh Phuoc,Thị xã,Bình Long,Binh Long,57598,28541,29057,33585,16379,17206,24013,12162,11851
691,Bình Phước,Binh Phuoc,Huyện,Bù Gia Mập,Bu Gia Map,85013,44531,40482,0,0,0,85013,44531,40482
692,Bình Phước,Binh Phuoc,Huyện,Lộc Ninh,Loc Ninh,114319,57397,56922,9915,4820,5095,104404,52577,51827
693,Bình Phước,Binh Phuoc,Huyện,Bú Đốp,Bu Dop,57311,29206,28105,8692,4411,4281,48619,24795,23824
694,Bình Phước,Binh Phuoc,Huyện,Hớn Quản,Hon Quan,98817,49543,49274,14484,7149,7335,84333,42394,41939
695,Bình Phước,Binh Phuoc,Huyện,Đồng Phú,Dong Phu,96481,48508,47973,15064,7354,7710,81417,41154,40263
696,Bình Phước,Binh Phuoc,Huyện,Bù Đăng,Bu Dang,140077,70723,69354,10024,4996,5028,130053,65727,64326
697,Bình Phước,Binh Phuoc,Huyện,Chơn Thành,Chon Thanh,91026,45869,45157,19560,9710,9850,71466,36159,35307
698,Bình Phước,Binh Phuoc,Huyện,Phú Riềng,Phu Rieng,91450,46097,45353,0,0,0,91450,46097,45353
593,Bình Thuận,Binh Thuan,Thành phố,Phan Thiết,Phan Thiet,226736,112192,114544,194197,95924,98273,32539,16268,16271
594,Bình Thuận,Binh Thuan,Thị xã,La Gi,La Gi,107057,54021,53036,64983,32697,32286,42074,21324,20750
595,Bình Thuận,Binh Thuan,Huyện,Tuy Phong,Tuy Phong,144800,73122,71678,65048,32601,32447,79752,40521,39231
596,Bình Thuận,Binh Thuan,Huyện,Bắc Bình,Bac Binh,129374,65021,64353,27798,13944,13854,101576,51077,50499
597,Bình Thuận,Binh Thuan,Huyện,Hàm Thuận Bắc,Ham Thuan Bac,184131,92816,91315,31289,15559,15730,152842,77257,75585
598,Bình Thuận,Binh Thuan,Huyện,Hàm Thuận Nam,Ham Thuan Nam,116544,59128,57416,14697,7417,7280,101847,51711,50136
599,Bình Thuận,Binh Thuan,Huyện,Tánh Linh,Tanh Linh,98516,49313,49203,16668,8325,8343,81848,40988,40860
600,Bình Thuận,Binh Thuan,Huyện,Đức Linh,Duc Linh,126035,63075,62960,35201,17567,17634,90834,45508,45326
601,Bình Thuận,Binh Thuan,Huyện,Hàm Tân,Ham Tan,70697,35766,34931,18839,9380,9459,51858,26386,25472
602,Bình Thuận,Binh Thuan,Huyện,Phú Quí,Phu Qui,26918,13930,12988,0,0,0,26918,13930,12988
964,Cà Mau,Ca Mau,Thành phố,Cà Mau,Ca Mau,226372,111757,114615,143341,70313,73028,83031,41444,41587
966,Cà Mau,Ca Mau,Huyện,U Minh,U Minh,100876,52024,48852,7106,3614,3492,93770,48410,45360
967,Cà Mau,Ca Mau,Huyện,Thới Bình,Thoi Binh,135892,68589,67303,10032,5021,5011,125860,63568,62292
968,Cà Mau,Ca Mau,Huyện,Trần Văn Thời,Tran Van Thoi,197679,100795,96884,43781,22192,21589,153898,78603,75295
969,Cà Mau,Ca Mau,Huyện,Cái Nước,Cai Nuoc,136638,69136,67502,14482,7190,7292,122156,61946,60210
970,Cà Mau,Ca Mau,Huyện,Đầm Dơi,Dam Doi,175629,88967,86662,10476,5235,5241,165153,83732,81421
971,Cà Mau,Ca Mau,Huyện,Năm Căn,Nam Can,56813,29123,27690,16477,8300,8177,40336,20823,19513
972,Cà Mau,Ca Mau,Huyện,Phú Tân,Phu Tan,97703,49717,47986,13870,7019,6851,83833,42698,41135
973,Cà Mau,Ca Mau,Huyện,Ngọc Hiền,Ngoc Hien,66874,34793,32081,11498,6071,5427,55376,28722,26654
916,Cần Thơ,Can Tho,Quận,Ninh Kiều,Ninh Kieu,280494,133768,146726,280494,133768,146726,0,0,0
917,Cần Thơ,Can Tho,Quận,Ô Môn,O Mon,128677,64650,64027,128677,64650,64027,0,0,0
918,Cần Thơ,Can Tho,Quận,Bình Thuỷ,Binh Thuy,142164,71104,71060,142164,71104,71060,0,0,0
919,Cần Thơ,Can Tho,Quận,Cái Răng,Cai Rang,105393,52162,53231,105393,52162,53231,0,0,0
923,Cần Thơ,Can Tho,Quận,Thốt Nốt,Thot Not,155360,77674,77686,155360,77674,77686,0,0,0
924,Cần Thơ,Can Tho,Huyện,Vĩnh Thạnh,Vinh Thanh,98399,49084,49315,14984,7426,7558,83415,41658,41757
925,Cần Thơ,Can Tho,Huyện,Cờ Đỏ,Co Do,116576,59223,57353,13077,6630,6447,103499,52593,50906
926,Cần Thơ,Can Tho,Huyện,Phong Điền,Phong Dien,98424,49490,48934,10799,5351,5448,87625,44139,43486
927,Cần Thơ,Can Tho,Huyện,Thới Lai,Thoi Lai,109684,55388,54296,9609,4749,4860,100075,50639,49436
040,Cao Bằng,Cao Bang,Thành phố,Cao Bằng,Cao Bang,73549,35626,37923,61955,29831,32124,11594,5795,5799
042,Cao Bằng,Cao Bang,Huyện,Bảo Lâm,Bao Lam,65025,32825,32200,5770,2859,2911,59255,29966,29289
043,Cao Bằng,Cao Bang,Huyện,Bảo Lạc,Bao Lac,54420,27136,27284,4771,2323,2448,49649,24813,24836
044,Cao Bằng,Cao Bang,Huyện,Thông Nông,Thong Nong,23884,12030,11854,3238,1558,1680,20646,10472,10174
045,Cao Bằng,Cao Bang,Huyện,Hà Quảng,Ha Quang,34157,17310,16847,4541,2262,2279,29616,15048,14568
046,Cao Bằng,Cao Bang,Huyện,Trà Lĩnh,Tra Linh,21746,10998,10748,5127,2580,2547,16619,8418,8201
047,Cao Bằng,Cao Bang,Huyện,Trùng Khánh,Trung Khanh,48955,24564,24391,5408,2532,2876,43547,22032,21515
048,Cao Bằng,Cao Bang,Huyện,Hạ Lang,Ha Lang,25439,12880,12559,3635,1738,1897,21804,11142,10662
049,Cao Bằng,Cao Bang,Huyện,Quảng Uyên,Quang Uyen,38078,19057,19021,4808,2259,2549,33270,16798,16472
050,Cao Bằng,Cao Bang,Huyện,Phục Hoà,Phuc Hoa,22852,11576,11276,9081,4503,4578,13771,7073,6698
051,Cao Bằng,Cao Bang,Huyện,Hoà An,Hoa An,52762,26737,26025,3858,1803,2055,48904,24934,23970
052,Cao Bằng,Cao Bang,Huyện,Nguyên Bình,Nguyen Binh,39654,19715,19939,6586,3133,3453,33068,16582,16486
053,Cao Bằng,Cao Bang,Huyện,Thạch An,Thach An,29820,15166,14654,4629,2232,2397,25191,12934,12257
490,Đà Nẵng,Da Nang,Quận,Liên Chiểu,Lien Chieu,194913,99552,95361,194913,99552,95361,0,0,0
491,Đà Nẵng,Da Nang,Quận,Thanh Khê,Thanh Khe,185064,90404,94660,185064,90404,94660,0,0,0
492,Đà Nẵng,Da Nang,Quận,Hải Châu,Hai Chau,201522,96557,104965,201522,96557,104965,0,0,0
493,Đà Nẵng,Da Nang,Quận,Sơn Trà,Son Tra,157415,77848,79567,157415,77848,79567,0,0,0
494,Đà Nẵng,Da Nang,Quận,Ngũ Hành Sơn,Ngu Hanh Son,90352,43906,46446,90352,43906,46446,0,0,0
495,Đà Nẵng,Da Nang,Quận,Cẩm Lệ,Cam Le,159295,78589,80706,159295,78589,80706,0,0,0
497,Đà Nẵng,Da Nang,Huyện,Hòa Vang,Hoa Vang,145749,72126,73623,0,0,0,145749,72126,73623
643,Đắk Lắk,Dak Lak,Thành phố,Buôn Ma Thuột,Buon Ma Thuot,375590,186887,188703,245951,121583,124368,129639,65304,64335
644,Đắk Lắk,Dak Lak,Thị xã,Buôn Hồ,Buon Ho,98732,49833,48899,54766,27713,27053,43966,22120,21846
645,Đắk Lắk,Dak Lak,Huyện,Ea H'Leo,Ea H'Leo,136880,69613,67267,19813,9903,9910,117067,59710,57357
646,Đắk Lắk,Dak Lak,Huyện,Ea Súp,Ea Sup,70724,36272,34452,12940,6508,6432,57784,29764,28020
647,Đắk Lắk,Dak Lak,Huyện,Buôn Đôn,Buon Don,64251,32535,31716,0,0,0,64251,32535,31716
648,Đắk Lắk,Dak Lak,Huyện,Cư M'Gar,Cu M'Gar,177622,89563,88059,31630,15883,15747,145992,73680,72312
649,Đắk Lắk,Dak Lak,Huyện,Krông Búk,Krong Buk,64859,33108,31751,0,0,0,64859,33108,31751
650,Đắk Lắk,Dak Lak,Huyện,Krông Năng,Krong Nang,126366,64337,62029,12775,6374,6401,113591,57963,55628
651,Đắk Lắk,Dak Lak,Huyện,Ea Kar,Ea Kar,144450,72950,71500,24107,12064,12043,120343,60886,59457
652,Đắk Lắk,Dak Lak,Huyện,M'Đrắk,M'Drak,72153,36443,35710,5936,2949,2987,66217,33494,32723
653,Đắk Lắk,Dak Lak,Huyện,Krông Bông,Krong Bong,92064,46486,45578,6782,3416,3366,85282,43070,42212
654,Đắk Lắk,Dak Lak,Huyện,Krông Pắc,Krong Pac,194607,98253,96354,17857,8878,8979,176750,89375,87375
655,Đắk Lắk,Dak Lak,Huyện,Krông A Na,Krong A Na,79892,40244,39648,23145,11560,11585,56747,28684,28063
656,Đắk Lắk,Dak Lak,Huyện,Lắk,Lak,69885,34806,35079,6416,3147,3269,63469,31659,31810
657,Đắk Lắk,Dak Lak,Huyện,Cư Kuin,Cu Kuin,101247,51248,49999,0,0,0,101247,51248,49999
660,Đắk Nông,Dak Nong,Thị xã,Gia Nghĩa,Gia Nghia,63046,32526,30520,41641,21366,20275,21405,11160,10245
661,Đắk Nông,Dak Nong,Huyện,Đăk Glong,Dak Glong,67782,34938,32844,0,0,0,67782,34938,32844
662,Đắk Nông,Dak Nong,Huyện,Cư Jút,Cu Jut,91621,46646,44975,16893,8466,8427,74728,38180,36548
663,Đắk Nông,Dak Nong,Huyện,Đắk Mil,Dak Mil,99892,50863,49029,11487,5690,5797,88405,45173,43232
664,Đắk Nông,Dak Nong,Huyện,Krông Nô,Krong No,74446,38087,36359,7288,3666,3622,67158,34421,32737
665,Đắk Nông,Dak Nong,Huyện,Đắk Song,Dak Song,80514,41900,38614,6653,3391,3262,73861,38509,35352
666,Đắk Nông,Dak Nong,Huyện,Đắk R'Lấp,Dak R'Lap,83555,43388,40167,10808,5512,5296,72747,37876,34871
667,Đắk Nông,Dak Nong,Huyện,Tuy Đức,Tuy Duc,61312,32365,28947,0,0,0,61312,32365,28947
094,Điện Biên,Dien Bien,Thành phố,Điện Biên Phủ,Dien Bien Phu,58519,29185,29334,55251,27543,27708,3268,1642,1626
095,Điện Biên,Dien Bien,Thị xã,Mường Lay,Muong Lay,11162,5449,5713,6068,2950,3118,5094,2499,2595
096,Điện Biên,Dien Bien,Huyện,Mường Nhé,Muong Nhe,45727,23683,22044,0,0,0,45727,23683,22044
097,Điện Biên,Dien Bien,Huyện,Mường Chà,Muong Cha,48005,24424,23581,4151,2109,2042,43854,22315,21539
098,Điện Biên,Dien Bien,Huyện,Tủa Chùa,Tua Chua,57460,29310,28150,3819,1967,1852,53641,27343,26298
099,Điện Biên,Dien Bien,Huyện,Tuần Giáo,Tuan Giao,87883,44451,43432,8034,3867,4167,79849,40584,39265
100,Điện Biên,Dien Bien,Huyện,Điên Biên,Dien Bien,119696,60109,59587,0,0,0,119696,60109,59587
101,Điện Biên,Dien Bien,Huyện,Điên Biên Đông,Dien Bien Dong,67080,34310,32770,3448,1799,1649,63632,32511,31121
102,Điện Biên,Dien Bien,Huyện,Mường Ảng,Muong Ang,48416,24502,23914,5365,2687,2678,43051,21815,21236
103,Điện Biên,Dien Bien,Huyện,Nậm Pồ,Nam Po,54908,28013,26895,0,0,0,54908,28013,26895
731,Đồng Nai,Dong Nai,Thành phố,Biên Hòa,Bien Hoa,1055414,524815,530599,830829,411866,418963,224585,112949,111636
732,Đồng Nai,Dong Nai,Thị xã,Long Khánh,Long Khanh,151467,75488,75979,54753,26858,27895,96714,48630,48084
