district_code,province_vi,province_en,district_equiv_vi,district_vi,district_en,total,total_male,total_female,total_urban,total_urban_male,total_urban_female,total_rural,total_rural_male,total_rural_female
522,Quảng Ngãi,Quang Ngai,Thành phố,Quảng Ngãi,Quang Ngai,261417,129247,132170,129139,63038,66101,132278,66209,66069
524,Quảng Ngãi,Quang Ngai,Huyện,Bình Sơn,Binh Son,181050,90191,90859,9158,4412,4746,171892,85779,86113
525,Quảng Ngãi,Quang Ngai,Huyện,Trà Bồng,Tra Bong,32250,16201,16049,7083,3466,3617,25167,12735,12432
526,Quảng Ngãi,Quang Ngai,Huyện,Tây Trà,Tay Tra,20744,10687,10057,0,0,0,20744,10687,10057
527,Quảng Ngãi,Quang Ngai,Huyện,Sơn Tịnh,Son Tinh,95843,48068,47775,0,0,0,95843,48068,47775
528,Quảng Ngãi,Quang Ngai,Huyện,Tư Nghĩa,Tu Nghia,128661,64037,64624,16511,8038,8473,112150,55999,56151
529,Quảng Ngãi,Quang Ngai,Huyện,Sơn Hà,Son Ha,78377,38936,39441,9972,4914,5058,68405,34022,34383
530,Quảng Ngãi,Quang Ngai,Huyện,Sơn Tây,Son Tay,21174,10825,10349,0,0,0,21174,10825,10349
531,Quảng Ngãi,Quang Ngai,Huyện,Minh Long,Minh Long,18722,9434,9288,0,0,0,18722,9434,9288
532,Quảng Ngãi,Quang Ngai,Huyện,Nghĩa Hành,Nghia Hanh,82250,41155,41095,9093,4525,4568,73157,36630,36527
533,Quảng Ngãi,Quang Ngai,Huyện,Mộ Đức,Mo Duc,112592,55010,57582,5797,2843,2954,106795,52167,54628
534,Quảng Ngãi,Quang Ngai,Huyện,Đức Phổ,Duc Pho,120629,59408,61221,8219,3960,4259,112410,55448,56962
535,Quảng Ngãi,Quang Ngai,Huyện,Ba Tơ,Ba To,59438,29471,29967,5961,2940,3021,53477,26531,26946
536,Quảng Ngãi,Quang Ngai,Huyện,Lý Sơn,Ly Son,18550,9244,9306,0,0,0,18550,9244,9306
193,Quảng Ninh,Quang Ninh,Thành phố,Hạ Long,Ha Long,270054,134722,135332,270054,134722,135332,0,0,0
194,Quảng Ninh,Quang Ninh,Thành phố,Móng Cái,Mong Cai,108553,55501,53052,66434,33855,32579,42119,21646,20473
195,Quảng Ninh,Quang Ninh,Thành phố,Cẩm Phả,Cam Pha,190232,98329,91903,182137,94085,88052,8095,4244,3851
196,Quảng Ninh,Quang Ninh,Thành phố,Uông Bí,Uong Bi,120982,60668,60314,113416,56828,56588,7566,3840,3726
198,Quảng Ninh,Quang Ninh,Huyện,Bình Liêu,Binh Lieu,31637,16457,15180,3623,1835,1788,28014,14622,13392
199,Quảng Ninh,Quang Ninh,Huyện,Tiên Yên,Tien Yen,50830,26154,24676,7519,3692,3827,43311,22462,20849
200,Quảng Ninh,Quang Ninh,Huyện,Đầm Hà,Dam Ha,41217,21384,19833,7900,3989,3911,33317,17395,15922
201,Quảng Ninh,Quang Ninh,Huyện,Hải Hà,Hai Ha,61566,31526,30040,7385,3728,3657,54181,27798,26383
202,Quảng Ninh,Quang Ninh,Huyện,Ba Chẽ,Ba Che,22103,11551,10552,4635,2322,2313,17468,9229,8239
203,Quảng Ninh,Quang Ninh,Huyện,Vân Đồn,Van Don,46616,23643,22973,9520,4779,4741,37096,18864,18232
204,Quảng Ninh,Quang Ninh,Huyện,Hoành Bồ,Hoanh Bo,52656,27830,24826,11704,6123,5581,40952,21707,19245
205,Quảng Ninh,Quang Ninh,Thị xã,Đông Triều,Dong Trieu,171673,86265,85408,72923,36383,36540,98750,49882,48868
206,Quảng Ninh,Quang Ninh,Thị xã,Quảng Yên,Quang Yen,145920,74257,71663,85868,43425,42443,60052,30832,29220
207,Quảng Ninh,Quang Ninh,Huyện,Cô Tô,Co To,6285,3235,3050,3136,1614,1522,3149,1621,1528
461,Quảng Trị,Quang Tri,Thành phố,Đông Hà,Dong Ha,95658,47482,48176,95658,47482,48176,0,0,0
462,Quảng Trị,Quang Tri,Thị xã,Quảng Trị,Quang Tri,23356,11459,11897,19390,9470,9920,3966,1989,1977
464,Quảng Trị,Quang Tri,Huyện,Vĩnh Linh,Vinh Linh,87451,43028,44423,23122,11194,11928,64329,31834,32495
465,Quảng Trị,Quang Tri,Huyện,Hướng Hóa,Huong Hoa,90918,45763,45155,24282,12175,12107,66636,33588,33048
466,Quảng Trị,Quang Tri,Huyện,Gio Linh,Gio Linh,75276,37463,37813,13666,6757,6909,61610,30706,30904
467,Quảng Trị,Quang Tri,Huyện,Đa Krông,Da Krong,43208,21958,21250,4732,2386,2346,38476,19572,18904
468,Quảng Trị,Quang Tri,Huyện,Cam Lộ,Cam Lo,47777,23805,23972,6981,3481,3500,40796,20324,20472
469,Quảng Trị,Quang Tri,Huyện,Triệu Phong,Trieu Phong,88852,43668,45184,4320,2120,2200,84532,41548,42984
470,Quảng Trị,Quang Tri,Huyện,Hải Lăng,Hai Lang,79533,38644,40889,3300,1597,1703,76233,37047,39186
471,Quảng Trị,Quang Tri,Huyện,Cồn Cỏ,Con Co,346,223,123,0,0,0,346,223,123
941,Sóc Trăng,Soc Trang,Thành phố,Sóc Trăng,Soc Trang,137305,67459,69846,137305,67459,69846,0,0,0
942,Sóc Trăng,Soc Trang,Huyện,Châu Thành,Chau Thanh,95188,47260,47928,8835,4425,4410,86353,42835,43518
943,Sóc Trăng,Soc Trang,Huyện,Kế Sách,Ke Sach,149156,74359,74797,23607,11718,11889,125549,62641,62908
944,Sóc Trăng,Soc Trang,Huyện,Mỹ Tú,My Tu,90524,44960,45564,7068,3494,3574,83456,41466,41990
945,Sóc Trăng,Soc Trang,Huyện,Cù Lao Dung,Cu Lao Dung,58304,29464,28840,5981,3027,2954,52323,26437,25886
946,Sóc Trăng,Soc Trang,Huyện,Long Phú,Long Phu,94255,46684,47571,21774,10671,11103,72481,36013,36468
947,Sóc Trăng,Soc Trang,Huyện,Mỹ Xuyên,My Xuyen,150067,75019,75048,20235,9886,10349,129832,65133,64699
948,Sóc Trăng,Soc Trang,Thị xã,Ngã Năm,Nga Nam,74115,37201,36914,37745,18975,18770,36370,18226,18144
949,Sóc Trăng,Soc Trang,Huyện,Thạnh Trị,Thanh Tri,73596,36346,37250,24874,12253,12621,48722,24093,24629
950,Sóc Trăng,Soc Trang,Thị xã,Vĩnh Châu,Vinh Chau,164680,82961,81719,74475,37512,36963,90205,45449,44756
951,Sóc Trăng,Soc Trang,Huyện,Trần Đề,Tran De,112463,56209,56254,26651,13238,13413,85812,42971,42841
116,Sơn La,Son La,Thành phố,Sơn La,Son La,106052,52992,53060,70362,34932,35430,35690,18060,17630
118,Sơn La,Son La,Huyện,Quỳnh Nhai,Quynh Nhai,64045,32413,31632,0,0,0,64045,32413,31632
119,Sơn La,Son La,Huyện,Thuận Châu,Thuan Chau,172763,88013,84750,5035,2505,2530,167728,85508,82220
120,Sơn La,Son La,Huyện,Mường La,Muong La,99534,51133,48401,11850,6088,5762,87684,45045,42639
121,Sơn La,Son La,Huyện,Bắc Yên,Bac Yen,66784,33675,33109,5710,2799,2911,61074,30876,30198
122,Sơn La,Son La,Huyện,Phù Yên,Phu Yen,114974,57428,57546,9207,4500,4707,105767,52928,52839
123,Sơn La,Son La,Huyện,Mộc Châu,Moc Chau,114460,57772,56688,42364,21064,21300,72096,36708,35388
124,Sơn La,Son La,Huyện,Yên Châu,Yen Chau,79295,39848,39447,4414,2159,2255,74881,37689,37192
125,Sơn La,Son La,Huyện,Mai Sơn,Mai Son,163881,83486,80395,16931,8316,8615,146950,75170,71780
126,Sơn La,Son La,Huyện,Sông Mã,Song Ma,154224,78565,75659,6988,3472,3516,147236,75093,72143
127,Sơn La,Son La,Huyện,Sốp Cộp,Sop Cop,50215,25734,24481,0,0,0,50215,25734,24481
128,Sơn La,Son La,Huyện,Vân Hồ,Van Ho,62188,31539,30649,0,0,0,62188,31539,30649
703,Tây Ninh,Tay Ninh,Thành phố,Tây Ninh,Tay Ninh,133805,65695,68110,108691,52855,55836,25114,12840,12274
705,Tây Ninh,Tay Ninh,Huyện,Tân Biên,Tan Bien,102190,51536,50654,14659,7251,7408,87531,44285,43246
706,Tây Ninh,Tay Ninh,Huyện,Tân Châu,Tan Chau,134743,68066,66677,9329,4588,4741,125414,63478,61936
707,Tây Ninh,Tay Ninh,Huyện,Dương Minh Châu,Duong Minh Chau,119158,59584,59574,6316,3074,3242,112842,56510,56332
708,Tây Ninh,Tay Ninh,Huyện,Châu Thành,Chau Thanh,140769,70958,69811,9515,4743,4772,131254,66215,65039
709,Tây Ninh,Tay Ninh,Huyện,Hòa Thành,Hoa Thanh,137746,67669,70077,12569,6034,6535,125177,61635,63542
710,Tây Ninh,Tay Ninh,Huyện,Gò Dầu,Go Dau,152757,76591,76166,23970,11611,12359,128787,64980,63807
711,Tây Ninh,Tay Ninh,Huyện,Bến Cầu,Ben Cau,69849,35298,34551,8626,4283,4343,61223,31015,30208
712,Tây Ninh,Tay Ninh,Huyện,Tràng Bàng,Trang Bang,178148,88783,89365,13511,6419,7092,164637,82364,82273
336,Thái Bình,Thai Binh,Thành phố,Thái Bình,Thai Binh,206037,98771,107266,124332,58881,65451,81705,39890,41815
338,Thái Bình,Thai Binh,Huyện,Quỳnh Phụ,Quynh Phu,240940,117230,123710,13607,6674,6933,227333,110556,116777
339,Thái Bình,Thai Binh,Huyện,Hưng Hà,Hung Ha,253272,124400,128872,23270,11542,11728,230002,112858,117144
340,Thái Bình,Thai Binh,Huyện,Đông Hưng,Dong Hung,244838,118928,125910,4332,2137,2195,240506,116791,123715
341,Thái Bình,Thai Binh,Huyện,Thái Thụy,Thai Thuy,255222,124062,131160,10277,4983,5294,244945,119079,125866
342,Thái Bình,Thai Binh,Huyện,Tiền Hải,Tien Hai,215535,106221,109314,7023,3428,3595,208512,102793,105719
343,Thái Bình,Thai Binh,Huyện,Kiến Xương,Kien Xuong,216682,105307,111375,9080,4408,4672,207602,100899,106703
344,Thái Bình,Thai Binh,Huyện,Vũ Thư,Vu Thu,227921,110489,117432,4532,2186,2346,223389,108303,115086
164,Thái Nguyên,Thai Nguyen,Thành phố,Thái Nguyên,Thai Nguyen,340403,165049,175354,249004,120736,128268,91399,44313,47086
165,Thái Nguyên,Thai Nguyen,Thành phố,Sông Công,Song Cong,69382,34110,35272,48007,23512,24495,21375,10598,10777
167,Thái Nguyên,Thai Nguyen,Huyện,Định Hóa,Dinh Hoa,89288,44929,44359,6526,3185,3341,82762,41744,41018
168,Thái Nguyên,Thai Nguyen,Huyện,Phú Lương,Phu Luong,102292,50882,51410,12371,5962,6409,89921,44920,45001
169,Thái Nguyên,Thai Nguyen,Huyện,Đồng Hỷ,Dong Hy,92421,46038,46383,7743,3697,4046,84678,42341,42337
170,Thái Nguyên,Thai Nguyen,Huyện,Võ Nhai,Vo Nhai,68080,34660,33420,3810,1895,1915,64270,32765,31505
171,Thái Nguyên,Thai Nguyen,Huyện,Đại Từ,Dai Tu,171703,85095,86608,19059,9282,9777,152644,75813,76831
172,Thái Nguyên,Thai Nguyen,Thị xã,Phổ Yên,Pho Yen,196378,90756,105622,54291,19938,34353,142087,70818,71269
173,Thái Nguyên,Thai Nguyen,Huyện,Phú Bình,Phu Binh,156804,77678,79126,9456,4665,4791,147348,73013,74335
380,Thanh Hóa,Thanh Hoa,Thành phố,Thanh Hóa,Thanh Hoa,359910,176174,183736,249012,121395,127617,110898,54779,56119
381,Thanh Hóa,Thanh Hoa,Thị xã,Bỉm Sơn,Bim Son,58378,28706,29672,49919,24495,25424,8459,4211,4248
382,Thanh Hóa,Thanh Hoa,Thành phố,Sầm Sơn,Sam Son,109208,54497,54711,91567,45687,45880,17641,8810,8831
384,Thanh Hóa,Thanh Hoa,Huyện,Mường Lát,Muong Lat,39948,20374,19574,3107,1590,1517,36841,18784,18057
385,Thanh Hóa,Thanh Hoa,Huyện,Quan Hóa,Quan Hoa,48856,24753,24103,3913,1956,1957,44943,22797,22146
386,Thanh Hóa,Thanh Hoa,Huyện,Bá Thước,Ba Thuoc,100834,50476,50358,3128,1511,1617,97706,48965,48741
387,Thanh Hóa,Thanh Hoa,Huyện,Quan Sơn,Quan Son,40526,20653,19873,2597,1279,1318,37929,19374,18555
388,Thanh Hóa,Thanh Hoa,Huyện,Lang Chánh,Lang Chanh,49654,25108,24546,4739,2303,2436,44915,22805,22110
389,Thanh Hóa,Thanh Hoa,Huyện,Ngọc Lặc,Ngoc Lac,136611,68736,67875,6375,3072,3303,130236,65664,64572
390,Thanh Hóa,Thanh Hoa,Huyện,Cẩm Thủy,Cam Thuy,110091,55310,54781,5705,2783,2922,104386,52527,51859
391,Thanh Hóa,Thanh Hoa,Huyện,Thạch Thành,Thach Thanh,144343,72561,71782,7201,3548,3653,137142,69013,68129
392,Thanh Hóa,Thanh Hoa,Huyện,Hà Trung,Ha Trung,118826,58935,59891,6831,3313,3518,111995,55622,56373
393,Thanh Hóa,Thanh Hoa,Huyện,Vĩnh Lộc,Vinh Loc,86362,43061,43301,2508,1230,1278,83854,41831,42023
394,Thanh Hóa,Thanh Hoa,Huyện,Yên Định,Yen Dinh,165830,82388,83442,9190,4563,4627,156640,77825,78815
395,Thanh Hóa,Thanh Hoa,Huyện,Thọ Xuân,Tho Xuan,195998,96407,99591,16211,7778,8433,179787,88629,91158
396,Thanh Hóa,Thanh Hoa,Huyện,Thường Xuân,Thuong Xuan,89131,45251,43880,5915,2864,3051,83216,42387,40829
397,Thanh Hóa,Thanh Hoa,Huyện,Triệu Sơn,Trieu Son,202386,100522,101864,7140,3515,3625,195246,97007,98239
398,Thanh Hóa,Thanh Hoa,Huyện,Thiệu hóa,Thieu hoa,160732,80342,80390,8874,4477,4397,151858,75865,75993
399,Thanh Hóa,Thanh Hoa,Huyện,Hoằng Hóa,Hoang Hoa,233043,116181,116862,5102,2499,2603,227941,113682,114259
400,Thanh Hóa,Thanh Hoa,Huyện,Hậu Lộc,Hau Loc,176418,87658,88760,4674,2273,2401,171744,85385,86359
401,Thanh Hóa,Thanh Hoa,Huyện,Nga Sơn,Nga Son,141114,70511,70603,4046,2046,2000,137068,68465,68603
402,Thanh Hóa,Thanh Hoa,Huyện,Như Xuân,Nhu Xuan,66240,33719,32521,4321,2115,2206,61919,31604,30315
403,Thanh Hóa,Thanh Hoa,Huyện,Như Thanh,Nhu Thanh,94906,48359,46547,6486,3186,3300,88420,45173,43247
404,Thanh Hóa,Thanh Hoa,Huyện,Nông Cống,Nong Cong,182801,91891,90910,14005,7064,6941,168796,84827,83969
405,Thanh Hóa,Thanh Hoa,Huyện,Đông Sơn,Dong Son,76923,38223,38700,9410,4674,4736,67513,33549,33964
406,Thanh Hóa,Thanh Hoa,Huyện,Quảng Xương,Quang Xuong,199943,99691,100252,3583,1781,1802,196360,97910,98450
407,Thanh Hóa,Thanh Hoa,Huyện,Tĩnh Gia,Tinh Gia,251116,125514,125602,5844,2828,3016,245272,122686,122586
474,Thừa Thiên Huế,Thua Thien Hue,Thành phố,Huế,Hue,351456,169707,181749,351456,169707,181749,0,0,0
476,Thừa Thiên Huế,Thua Thien Hue,Huyện,Phong Điền,Phong Dien,87781,42899,44882,7479,3663,3816,80302,39236,41066
477,Thừa Thiên Huế,Thua Thien Hue,Huyện,Quảng Điền,Quang Dien,77178,37947,39231,10028,4948,5080,67150,32999,34151
478,Thừa Thiên Huế,Thua Thien Hue,Huyện,Phú Vang,Phu Vang,179589,90766,88823,32504,16493,16011,147085,74273,72812
479,Thừa Thiên Huế,Thua Thien Hue,Thị xã,Hương Thủy,Huong Thuy,113964,57177,56787,67376,33572,33804,46588,23605,22983
480,Thừa Thiên Huế,Thua Thien Hue,Thị xã,Hương Trà,Huong Tra,115088,57617,57471,57188,28367,28821,57900,29250,28650
481,Thừa Thiên Huế,Thua Thien Hue,Huyện,A Lưới,A Luoi,49418,25028,24390,7682,3862,3820,41736,21166,20570
482,Thừa Thiên Huế,Thua Thien Hue,Huyện,Phú Lộc,Phu Loc,129846,65000,64846,21338,10788,10550,108508,54212,54296
483,Thừa Thiên Huế,Thua Thien Hue,Huyện,Nam Đông,Nam Dong,24300,12347,11953,3480,1728,1752,20820,10619,10201
815,Tiền Giang,Tien Giang,Thành phố,Mỹ Tho,My Tho,228109,109181,118928,124104,58253,65851,104005,50928,53077
816,Tiền Giang,Tien Giang,Thị xã,Gò Công,Go Cong,99657,48692,50965,26680,12510,14170,72977,36182,36795
817,Tiền Giang,Tien Giang,Thị xã,Cai Lậy,Cai Lay,125615,61409,64206,35303,16888,18415,90312,44521,45791
818,Tiền Giang,Tien Giang,Huyện,Tân Phước,Tan Phuoc,65331,32709,32622,3294,1600,1694,62037,31109,30928
819,Tiền Giang,Tien Giang,Huyện,Cái Bè,Cai Be,292738,145497,147241,15265,7289,7976,277473,138208,139265
820,Tiền Giang,Tien Giang,Huyện,Cai Lậy,Cai Lay,193328,96224,97104,0,0,0,193328,96224,97104
821,Tiền Giang,Tien Giang,Huyện,Châu Thành,Chau Thanh,263426,128704,134722,4826,2269,2557,258600,126435,132165
822,Tiền Giang,Tien Giang,Huyện,Chợ Gạo,Cho Gao,187711,91999,95712,7497,3610,3887,180214,88389,91825
823,Tiền Giang,Tien Giang,Huyện,Gò Công Tây,Go Cong Tay,127132,62139,64993,11293,5354,5939,115839,56785,59054
824,Tiền Giang,Tien Giang,Huyện,Gò Công Đông,Go Cong Dong,139060,68401,70659,19073,9336,9737,119987,59065,60922
825,Tiền Giang,Tien Giang,Huyện,Tân Phú Đông,Tan Phu Dong,42078,20866,21212,0,0,0,42078,20866,21212
842,Trà Vinh,Tra Vinh,Thành phố,Trà Vinh,Tra Vinh,112584,54026,58558,90714,43702,47012,21870,10324,11546
844,Trà Vinh,Tra Vinh,Huyện,Càng Long,Cang Long,147694,72740,74954,13610,6615,6995,134084,66125,67959
845,Trà Vinh,Tra Vinh,Huyện,Cầu Kè,Cau Ke,102767,50421,52346,6157,2945,3212,96610,47476,49134
846,Trà Vinh,Tra Vinh,Huyện,Tiểu Cần,Tieu Can,107846,52996,54850,14844,7118,7726,93002,45878,47124
847,Trà Vinh,Tra Vinh,Huyện,Châu Thành,Chau Thanh,144040,70930,73110,6102,2959,3143,137938,67971,69967
848,Trà Vinh,Tra Vinh,Huyện,Cầu Ngang,Cau Ngang,121254,59851,61403,10070,4808,5262,111184,55043,56141
849,Trà Vinh,Tra Vinh,Huyện,Trà Cú,Tra Cu,146329,72004,74325,11294,5469,5825,135035,66535,68500
850,Trà Vinh,Tra Vinh,Huyện,Duyên Hải,Duyen Hai,78444,39271,39173,5238,2633,2605,73206,36638,36568
851,Trà Vinh,Tra Vinh,Thị xã,Duyên Hải,Duyen Hai,48210,24619,23591,15557,7712,7845,32653,16907,15746
070,Tuyên Quang,Tuyen Quang,Thành phố,Tuyên Quang,Tuyen Quang,104645,50994,53651,62375,30238,32137,42270,20756,21514
071,Tuyên Quang,Tuyen Quang,Huyện,Lâm Bình,Lam Binh,31137,15954,15183,0,0,0,31137,15954,15183
072,Tuyên Quang,Tuyen Quang,Huyện,Nà Hang,Na Hang,43248,21864,21384,7289,3643,3646,35959,18221,17738
073,Tuyên Quang,Tuyen Quang,Huyện,Chiêm Hóa,Chiem Hoa,127073,64721,62352,8594,4195,4399,118479,60526,57953
074,Tuyên Quang,Tuyen Quang,Huyện,Hàm Yên,Ham Yen,121342,61695,59647,11155,5483,5672,110187,56212,53975
075,Tuyên Quang,Tuyen Quang,Huyện,Yên Sơn,Yen Son,173766,87532,86234,4402,2169,2233,169364,85363,84001
076,Tuyên Quang,Tuyen Quang,Huyện,Sơn Dương,Son Duong,183600,92386,91214,14472,7149,7323,169128,85237,83891
855,Vĩnh Long,Vinh Long,Thành phố,Vĩnh Long,Vinh Long,137870,67557,70313,102047,49903,52144,35823,17654,18169
857,Vĩnh Long,Vinh Long,Huyện,Long Hồ,Long Ho,167698,82497,85201,7061,3429,3632,160637,79068,81569
858,Vĩnh Long,Vinh Long,Huyện,Mang Thít,Mang Thit,96172,47503,48669,3539,1706,1833,92633,45797,46836
859,Vĩnh Long,Vinh Long,Huyện,Vũng Liêm,Vung Liem,149371,72884,76487,7274,3451,3823,142097,69433,72664
860,Vĩnh Long,Vinh Long,Huyện,Tam Bình,Tam Binh,151520,74807,76713,4905,2355,2550,146615,72452,74163
861,Vĩnh Long,Vinh Long,Thị xã,Bình Minh,Binh Minh,94862,47075,47787,35740,17410,18330,59122,29665,29457
862,Vĩnh Long,Vinh Long,Huyện,Trà Ôn,Tra On,129589,63701,65888,9107,4273,4834,120482,59428,61054
863,Vĩnh Long,Vinh Long,Huyện,Bình Tân,Binh Tan,95709,47854,47855,0,0,0,95709,47854,47855
243,Vĩnh Phúc,Vinh Phuc,Thành phố,Vĩnh Yên,Vinh Yen,119128,58918,60210,99273,49091,50182,19855,9827,10028
244,Vĩnh Phúc,Vinh Phuc,Thành phố,Phúc Yên,Phuc Yen,106002,52124,53878,82687,40427,42260,23315,11697,11618
246,Vĩnh Phúc,Vinh Phuc,Huyện,Lập Thạch,Lap Thach,136150,68157,67993,14305,7095,7210,121845,61062,60783
247,Vĩnh Phúc,Vinh Phuc,Huyện,Tam Dương,Tam Duong,114391,57006,57385,11154,5568,5586,103237,51438,51799
248,Vĩnh Phúc,Vinh Phuc,Huyện,Tam Đảo,Tam Dao,83931,42584,41347,781,406,375,83150,42178,40972
249,Vĩnh Phúc,Vinh Phuc,Huyện,Bình Xuyên,Binh Xuyen,131013,65647,65366,39940,19902,20038,91073,45745,45328
251,Vĩnh Phúc,Vinh Phuc,Huyện,Yên Lạc,Yen Lac,156456,78072,78384,14986,7537,7449,141470,70535,70935
252,Vĩnh Phúc,Vinh Phuc,Huyện,Vĩnh Tường,Vinh Tuong,205345,101823,103522,28350,14072,14278,176995,87751,89244
253,Vĩnh Phúc,Vinh Phuc,Huyện,Sông Lô,Song Lo,98738,49290,49448,3518,1746,1772,95220,47544,47676
132,Yên Bái,Yen Bai,Thành phố,Yên Bái,Yen Bai,100631,49278,51353,75822,36933,38889,24809,12345,12464
133,Yên Bái,Yen Bai,Thị xã,Nghĩa Lộ,Nghia Lo,31786,15845,15941,22253,11022,11231,9533,4823,4710
135,Yên Bái,Yen Bai,Huyện,Lục Yên,Luc Yen,108817,55367,53450,9861,4846,5015,98956,50521,48435
136,Yên Bái,Yen Bai,Huyện,Văn Yên,Van Yen,129679,65573,64106,11596,5629,5967,118083,59944,58139
137,Yên Bái,Yen Bai,Huyện,Mù Căng Chải,Mu Cang Chai,63961,32312,31649,3425,1722,1703,60536,30590,29946
138,Yên Bái,Yen Bai,Huyện,Trấn Yên,Tran Yen,84675,42217,42458,5788,2814,2974,78887,39403,39484
139,Yên Bái,Yen Bai,Huyện,Trạm Tấu,Tram Tau,33962,17245,16717,2926,1490,1436,31036,15755,15281
140,Yên Bái,Yen Bai,Huyện,Văn Chấn,Van Chan,155473,78475,76998,15023,7401,7622,140450,71074,69376
141,Yên Bái,Yen Bai,Huyện,Yên Bình,Yen Binh,112046,56665,55381,15961,8027,7934,96085,48638,47447